city,state_name,population,slug
Napa,California,79068,napa-ca
Hammond,Indiana,78967,hammond-in
Fayetteville,Arkansas,78960,fayetteville-ar
Bloomington,Illinois,78902,bloomington-il
Avondale,Arizona,78822,avondale-az
Somerville,Massachusetts,78804,somerville-ma
Palm Coast,Florida,78740,palm-coast-fl
Bryan,Texas,78709,bryan-tx
Gary,Indiana,78450,gary-in
Largo,Florida,78409,largo-fl
Brooklyn Park,Minnesota,78373,brooklyn-park-mn
Tustin,California,78327,tustin-ca
Racine,Wisconsin,78199,racine-wi
Deerfield Beach,Florida,78041,deerfield-beach-fl
Lynchburg,Virginia,78014,lynchburg-va
Mountain View,California,77846,mountain-view-ca
Medford,Oregon,77677,medford-or
Lawrence,Massachusetts,77657,lawrence-ma
Bellflower,California,77593,bellflower-ca
Melbourne,Florida,77508,melbourne-fl
St. Joseph,Missouri,77147,st-joseph-mo
Camden,New Jersey,76903,camden-nj
St. George,Utah,76817,st-george-ut
Kennewick,Washington,76762,kennewick-wa
Baldwin Park,California,76635,baldwin-park-ca
Chino Hills,California,76572,chino-hills-ca
Alameda,California,76419,alameda-ca
Albany,Georgia,76185,albany-ga
Arlington Heights,Illinois,75994,arlington-heights-il
Scranton,Pennsylvania,75806,scranton-pa
Evanston,Illinois,75570,evanston-il
Kalamazoo,Michigan,75548,kalamazoo-mi
Baytown,Texas,75418,baytown-tx
Upland,California,75413,upland-ca
Springdale,Arkansas,75229,springdale-ar
Bethlehem,Pennsylvania,75018,bethlehem-pa
Schaumburg,Illinois,74907,schaumburg-il
Mount Pleasant,South Carolina,74885,mount-pleasant-sc
Auburn,Washington,74860,auburn-wa
Decatur,Illinois,74710,decatur-il
San Ramon,California,74513,san-ramon-ca
Pleasanton,California,74110,pleasanton-ca
Wyoming,Michigan,74100,wyoming-mi
Lake Charles,Louisiana,74024,lake-charles-la
Plymouth,Minnesota,73987,plymouth-mn
Bolingbrook,Illinois,73936,bolingbrook-il
Pharr,Texas,73790,pharr-tx
Appleton,Wisconsin,73596,appleton-wi
Gastonia,North Carolina,73209,gastonia-nc
Folsom,California,73098,folsom-ca
Southfield,Michigan,73006,southfield-mi
Rochester Hills,Michigan,72952,rochester-hills-mi
New Britain,Connecticut,72939,new-britain-ct
Goodyear,Arizona,72864,goodyear-az
Canton,Ohio,72535,canton-oh
Warner Robins,Georgia,72531,warner-robins-ga
Union City,California,72528,union-city-ca
Perris,California,72326,perris-ca
Manteca,California,71948,manteca-ca
Iowa City,Iowa,71591,iowa-city-ia
Jonesboro,Arkansas,71551,jonesboro-ar
Wilmington,Delaware,71525,wilmington-de
Lynwood,California,71371,lynwood-ca
Loveland,Colorado,71334,loveland-co
Pawtucket,Rhode Island,71172,pawtucket-ri
Boynton Beach,Florida,71097,boynton-beach-fl
Waukesha,Wisconsin,71016,waukesha-wi
Gulfport,Mississippi,71012,gulfport-ms
Apple Valley,California,70924,apple-valley-ca
Passaic,New Jersey,70868,passaic-nj
Rapid City,South Dakota,70812,rapid-city-sd
Layton,Utah,70790,layton-ut
Lafayette,Indiana,70373,lafayette-in
Turlock,California,70365,turlock-ca
Muncie,Indiana,70316,muncie-in
Temple,Texas,70190,temple-tx
Missouri City,Texas,70185,missouri-city-tx
Redlands,California,69999,redlands-ca
Santa Fe,New Mexico,69976,santa-fe-nm
Lauderhill,Florida,69813,lauderhill-fl
Milpitas,California,69783,milpitas-ca
Palatine,Illinois,69350,palatine-il
Missoula,Montana,69122,missoula-mt
Rock Hill,South Carolina,69103,rock-hill-sc
Jacksonville,North Carolina,69079,jacksonville-nc
Franklin,Tennessee,68886,franklin-tn
Flagstaff,Arizona,68667,flagstaff-az
Flower Mound,Texas,68609,flower-mound-tx
Weston,Florida,68388,weston-fl
Waterloo,Iowa,68366,waterloo-ia
Union City,New Jersey,68247,union-city-nj
Mount Vernon,New York,68224,mount-vernon-ny
Fort Myers,Florida,68190,fort-myers-fl
Dothan,Alabama,68001,dothan-al
Rancho Cordova,California,67911,rancho-cordova-ca
Redondo Beach,California,67815,redondo-beach-ca
Jackson,Tennessee,67685,jackson-tn
Pasco,Washington,67599,pasco-wa
St. Charles,Missouri,67569,st-charles-mo
Eau Claire,Wisconsin,67545,eau-claire-wi
North Richland Hills,Texas,67317,north-richland-hills-tx
Bismarck,North Dakota,67034,bismarck-nd
Yorba Linda,California,67032,yorba-linda-ca
Kenner,Louisiana,66975,kenner-la
Walnut Creek,California,66900,walnut-creek-ca
Frederick,Maryland,66893,frederick-md
Oshkosh,Wisconsin,66778,oshkosh-wi
Pittsburg,California,66695,pittsburg-ca
Palo Alto,California,66642,palo-alto-ca
Bossier City,Louisiana,66333,bossier-city-la
Portland,Maine,66318,portland-me
St. Cloud,Minnesota,66297,st-cloud-mn
Davis,California,66205,davis-ca
South San Francisco,California,66174,south-san-francisco-ca
Camarillo,California,66086,camarillo-ca
North Little Rock,Arkansas,66075,north-little-rock-ar
Schenectady,New York,65902,schenectady-ny
Gaithersburg,Maryland,65690,gaithersburg-md
Harlingen,Texas,65665,harlingen-tx
Woodbury,Minnesota,65656,woodbury-mn
Eagan,Minnesota,65453,eagan-mn
Yuba City,California,65416,yuba-city-ca
Maple Grove,Minnesota,65415,maple-grove-mn
Youngstown,Ohio,65184,youngstown-oh
Skokie,Illinois,65176,skokie-il
Kissimmee,Florida,65173,kissimmee-fl
Johnson City,Tennessee,65123,johnson-city-tn
Victoria,Texas,65098,victoria-tx
San Clemente,California,65040,san-clemente-ca
Bayonne,New Jersey,65028,bayonne-nj
Laguna Niguel,California,64652,laguna-niguel-ca
East Orange,New Jersey,64544,east-orange-nj
Shawnee,Kansas,64323,shawnee-ks
Homestead,Florida,64079,homestead-fl
Rockville,Maryland,64072,rockville-md
Delray Beach,Florida,64072,delray-beach-fl
Janesville,Wisconsin,63820,janesville-wi
Conway,Arkansas,63816,conway-ar
Pico Rivera,California,63771,pico-rivera-ca
Lorain,Ohio,63710,lorain-oh
Montebello,California,63495,montebello-ca
Lodi,California,63338,lodi-ca
New Braunfels,Texas,63279,new-braunfels-tx
Marysville,Washington,63269,marysville-wa
Tamarac,Florida,63155,tamarac-fl
Madera,California,63105,madera-ca
Conroe,Texas,63032,conroe-tx
Santa Cruz,California,62864,santa-cruz-ca
Eden Prairie,Minnesota,62603,eden-prairie-mn
Cheyenne,Wyoming,62448,cheyenne-wy
Daytona Beach,Florida,62316,daytona-beach-fl
Alpharetta,Georgia,62298,alpharetta-ga
Hamilton,Ohio,62258,hamilton-oh
Waltham,Massachusetts,62227,waltham-ma
Coon Rapids,Minnesota,62103,coon-rapids-mn
Haverhill,Massachusetts,62088,haverhill-ma
Council Bluffs,Iowa,61969,council-bluffs-ia
Taylor,Michigan,61817,taylor-mi
Utica,New York,61808,utica-ny
Ames,Iowa,61792,ames-ia
La Habra,California,61653,la-habra-ca
Encinitas,California,61588,encinitas-ca
Bowling Green,Kentucky,61488,bowling-green-ky
Burnsville,Minnesota,61434,burnsville-mn
Greenville,South Carolina,61397,greenville-sc
West Des Moines,Iowa,61255,west-des-moines-ia
Cedar Park,Texas,61238,cedar-park-tx
Tulare,California,61170,tulare-ca
Monterey Park,California,61085,monterey-park-ca
Vineland,New Jersey,61050,vineland-nj
Terre Haute,Indiana,61025,terre-haute-in
North Miami,Florida,61007,north-miami-fl
Mansfield,Texas,60872,mansfield-tx
West Allis,Wisconsin,60697,west-allis-wi
Bristol,Connecticut,60568,bristol-ct
Taylorsville,Utah,60519,taylorsville-ut
Malden,Massachusetts,60509,malden-ma
Meriden,Connecticut,60456,meriden-ct
Blaine,Minnesota,60407,blaine-mn
Wellington,Florida,60202,wellington-fl
Cupertino,California,60189,cupertino-ca
Springfield,Oregon,60177,springfield-or
Rogers,Arkansas,60112,rogers-ar
St. Clair Shores,Michigan,60070,st-clair-shores-mi
Gardena,California,59957,gardena-ca
Pontiac,Michigan,59887,pontiac-mi
National City,California,59834,national-city-ca
Grand Junction,Colorado,59778,grand-junction-co
Rocklin,California,59738,rocklin-ca
Chapel Hill,North Carolina,59635,chapel-hill-nc
Casper,Wyoming,59628,casper-wy
Broomfield,Colorado,59471,broomfield-co
Petaluma,California,59440,petaluma-ca
South Jordan,Utah,59366,south-jordan-ut
Springfield,Ohio,59357,springfield-oh
Great Falls,Montana,59351,great-falls-mt
Lancaster,Pennsylvania,59325,lancaster-pa
North Port,Florida,59212,north-port-fl
Lakewood,Washington,59097,lakewood-wa
Marietta,Georgia,59089,marietta-ga
San Rafael,California,58994,san-rafael-ca
Royal Oak,Michigan,58946,royal-oak-mi
Des Plaines,Illinois,58918,des-plaines-il
Huntington Park,California,58879,huntington-park-ca
La Mesa,California,58642,la-mesa-ca
Orland Park,Illinois,58590,orland-park-il
Auburn,Alabama,58582,auburn-al
Lakeville,Minnesota,58562,lakeville-mn
Owensboro,Kentucky,58416,owensboro-ky
Moore,Oklahoma,58414,moore-ok
Jupiter,Florida,58298,jupiter-fl
Idaho Falls,Idaho,58292,idaho-falls-id
Dubuque,Iowa,58253,dubuque-ia
Bartlett,Tennessee,58226,bartlett-tn
Rowlett,Texas,58043,rowlett-tx
Novi,Michigan,57960,novi-mi
White Plains,New York,57866,white-plains-ny
Arcadia,California,57639,arcadia-ca
Redmond,Washington,57530,redmond-wa
Lake Elsinore,California,57525,lake-elsinore-ca
Ocala,Florida,57468,ocala-fl
Tinley Park,Illinois,57282,tinley-park-il
Port Orange,Florida,57203,port-orange-fl
Medford,Massachusetts,57170,medford-ma
Oak Lawn,Illinois,57073,oak-lawn-il
Rocky Mount,North Carolina,56954,rocky-mount-nc
Kokomo,Indiana,56895,kokomo-in
Coconut Creek,Florida,56792,coconut-creek-fl
Bowie,Maryland,56759,bowie-md
Berwyn,Illinois,56758,berwyn-il
Midwest City,Oklahoma,56756,midwest-city-ok
Fountain Valley,California,56707,fountain-valley-ca
Buckeye,Arizona,56683,buckeye-az
Dearborn Heights,Michigan,56620,dearborn-heights-mi
Woodland,California,56590,woodland-ca
Noblesville,Indiana,56540,noblesville-in
Valdosta,Georgia,56481,valdosta-ga
Diamond Bar,California,56449,diamond-bar-ca
Manhattan,Kansas,56143,manhattan-ks
Santee,California,56105,santee-ca
Taunton,Massachusetts,56069,taunton-ma
Sanford,Florida,56002,sanford-fl
Kettering,Ohio,55870,kettering-oh
New Brunswick,New Jersey,55831,new-brunswick-nj
Decatur,Alabama,55816,decatur-al
Chicopee,Massachusetts,55717,chicopee-ma
Anderson,Indiana,55670,anderson-in
Margate,Florida,55456,margate-fl
Weymouth Town,Massachusetts,55419,weymouth-town-ma
Hempstead,New York,55361,hempstead-ny
Corvallis,Oregon,55298,corvallis-or
Eastvale,California,55191,eastvale-ca
Porterville,California,55174,porterville-ca
West Haven,Connecticut,55046,west-haven-ct
Brentwood,California,55000,brentwood-ca
Paramount,California,54980,paramount-ca
Grand Forks,North Dakota,54932,grand-forks-nd
