city,state,population,state_name,slug
Overland Park,KS,181260,Kansas,overland-park-ks
Santa Clarita,CA,179590,California,santa-clarita-ca
Providence,RI,177994,Rhode Island,providence-ri
Garden Grove,CA,175140,California,garden-grove-ca
Chattanooga,TN,173366,Tennessee,chattanooga-tn
Oceanside,CA,172794,California,oceanside-ca
Jackson,MS,172638,Mississippi,jackson-ms
Fort Lauderdale,FL,172389,Florida,fort-lauderdale-fl
Santa Rosa,CA,171990,California,santa-rosa-ca
Rancho Cucamonga,CA,171386,California,rancho-cucamonga-ca
Port St. Lucie,FL,171016,Florida,port-st-lucie-fl
Tempe,AZ,168228,Arizona,tempe-az
Ontario,CA,167500,California,ontario-ca
Vancouver,WA,167405,Washington,vancouver-wa
Cape Coral,FL,165831,Florida,cape-coral-fl
Sioux Falls,SD,164676,South Dakota,sioux-falls-sd
Springfield,MO,164122,Missouri,springfield-mo
Peoria,AZ,162592,Arizona,peoria-az
Pembroke Pines,FL,162329,Florida,pembroke-pines-fl
Elk Grove,CA,161007,California,elk-grove-ca
Salem,OR,160614,Oregon,salem-or
Lancaster,CA,159523,California,lancaster-ca
Corona,CA,159503,California,corona-ca
Eugene,OR,159190,Oregon,eugene-or
Palmdale,CA,157161,California,palmdale-ca
Salinas,CA,155662,California,salinas-ca
Springfield,MA,153703,Massachusetts,springfield-ma
Pasadena,TX,152735,Texas,pasadena-tx
Fort Collins,CO,152061,Colorado,fort-collins-co
Hayward,CA,151574,California,hayward-ca
Pomona,CA,151348,California,pomona-ca
Cary,NC,151088,North Carolina,cary-nc
Rockford,IL,150251,Illinois,rockford-il
Alexandria,VA,148892,Virginia,alexandria-va
Escondido,CA,148738,California,escondido-ca
McKinney,TX,148559,Texas,mckinney-tx
Kansas City,KS,148483,Kansas,kansas-city-ks
Joliet,IL,147806,Illinois,joliet-il
Sunnyvale,CA,147559,California,sunnyvale-ca
Torrance,CA,147478,California,torrance-ca
Bridgeport,CT,147216,Connecticut,bridgeport-ct
Lakewood,CO,147214,Colorado,lakewood-co
Hollywood,FL,146526,Florida,hollywood-fl
Paterson,NJ,145948,New Jersey,paterson-nj
Naperville,IL,144864,Illinois,naperville-il
Syracuse,NY,144669,New York,syracuse-ny
Mesquite,TX,143484,Texas,mesquite-tx
Dayton,OH,143355,Ohio,dayton-oh
Savannah,GA,142772,Georgia,savannah-ga
Clarksville,TN,142357,Tennessee,clarksville-tn
Orange,CA,139969,California,orange-ca
Pasadena,CA,139731,California,pasadena-ca
Fullerton,CA,138981,California,fullerton-ca
Killeen,TX,137147,Texas,killeen-tx
Frisco,TX,136791,Texas,frisco-tx
Hampton,VA,136699,Virginia,hampton-va
McAllen,TX,136639,Texas,mcallen-tx
Warren,MI,134873,Michigan,warren-mi
Bellevue,WA,133992,Washington,bellevue-wa
West Valley City,UT,133579,Utah,west-valley-city-ut
Columbia,SC,133358,South Carolina,columbia-sc
Olathe,KS,131885,Kansas,olathe-ks
Sterling Heights,MI,131224,Michigan,sterling-heights-mi
New Haven,CT,130660,Connecticut,new-haven-ct
Miramar,FL,130288,Florida,miramar-fl
Waco,TX,129030,Texas,waco-tx
Thousand Oaks,CA,128731,California,thousand-oaks-ca
Cedar Rapids,IA,128429,Iowa,cedar-rapids-ia
Charleston,SC,127999,South Carolina,charleston-sc
Visalia,CA,127763,California,visalia-ca
Topeka,KS,127679,Kansas,topeka-ks
Elizabeth,NJ,127558,New Jersey,elizabeth-nj
Gainesville,FL,127488,Florida,gainesville-fl
Thornton,CO,127359,Colorado,thornton-co
Roseville,CA,127035,California,roseville-ca
Carrollton,TX,126700,Texas,carrollton-tx
Coral Springs,FL,126604,Florida,coral-springs-fl
Stamford,CT,126456,Connecticut,stamford-ct
Simi Valley,CA,126181,California,simi-valley-ca
Concord,CA,125880,California,concord-ca
Hartford,CT,125017,Connecticut,hartford-ct
Kent,WA,124435,Washington,kent-wa
Lafayette,LA,124276,Louisiana,lafayette-la
Midland,TX,123933,Texas,midland-tx
Surprise,AZ,123546,Arizona,surprise-az
Denton,TX,123099,Texas,denton-tx
Victorville,CA,121096,California,victorville-ca
Evansville,IN,120310,Indiana,evansville-in
Santa Clara,CA,120245,California,santa-clara-ca
Abilene,TX,120099,Texas,abilene-tx
Athens-Clarke County,GA,119980,Georgia,athens-clarke-county-ga
Vallejo,CA,118837,California,vallejo-ca
Allentown,PA,118577,Pennsylvania,allentown-pa
Norman,OK,118197,Oklahoma,norman-ok
Beaumont,TX,117796,Texas,beaumont-tx
Independence,MO,117240,Missouri,independence-mo
Murfreesboro,TN,117044,Tennessee,murfreesboro-tn
Ann Arbor,MI,117025,Michigan,ann-arbor-mi
Springfield,IL,117006,Illinois,springfield-il
Berkeley,CA,116768,California,berkeley-ca
Peoria,IL,116513,Illinois,peoria-il
Provo,UT,116288,Utah,provo-ut
El Monte,CA,115708,California,el-monte-ca
Columbia,MO,115276,Missouri,columbia-mo
Lansing,MI,113972,Michigan,lansing-mi
Fargo,ND,113658,North Dakota,fargo-nd
Downey,CA,113242,California,downey-ca
Costa Mesa,CA,112174,California,costa-mesa-ca
Wilmington,NC,112067,North Carolina,wilmington-nc
Arvada,CO,111707,Colorado,arvada-co
Inglewood,CA,111542,California,inglewood-ca
Miami Gardens,FL,111378,Florida,miami-gardens-fl
Carlsbad,CA,110972,California,carlsbad-ca
Westminster,CO,110945,Colorado,westminster-co
Rochester,MN,110742,Minnesota,rochester-mn
Odessa,TX,110720,Texas,odessa-tx
